symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap
SNXX3S_USDT,late,0.0,0.05,10,none,False,13950,0.01135,0.010265,9,9,0,44.0982,0.0,44.0982,2044.0982,0.372995,0,9,2044.0982,0.0,0.0
SNXX3L_USDT,late,0.0,0.05,10,none,False,19375,2.60438,1.0969,9,9,0,44.0982,0.0,44.0982,2044.0982,0.013342,0,9,2044.0982,0.0,0.0
SNXX3S_USDT,full,0.0,0.05,10,none,False,27829,1.0107,0.010265,9,9,0,44.0982,0.0,44.0982,2044.0982,0.066975,0,9,2044.0982,0.0,0.0
SNXX3L_USDT,full,0.0,0.05,10,none,False,37108,1.00171,1.0969,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,0,9,2044.0982,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,10,none,False,33373,3.5857,0.8326,9,9,0,44.0982,0.0,44.0982,2044.0982,0.184329,0,9,2044.0982,0.0,-0.0
SOXL3L_USDT,late,0.0,0.05,10,none,False,30577,0.01701,0.01545,9,9,0,44.0982,0.0,44.0982,2044.0982,0.008468,0,9,2044.0982,0.0,0.0
SOXL3S_USDT,full,0.0,0.05,10,none,False,62331,1.01083,0.8326,9,9,0,44.0982,0.0,44.0982,2044.0982,0.094702,0,9,2044.0982,0.0,0.0
SOXL3L_USDT,full,0.0,0.05,10,none,False,71701,1.00644,0.01545,9,9,0,44.0982,0.0,44.0982,2044.0982,0.01312,0,9,2044.0982,0.0,-0.0
SNXX3L_USDT,late,0.0,0.05,10,none,True,19375,2.60438,1.0969,9,9,0,44.0982,0.0,44.0982,2044.0982,0.013342,0,9,2044.0982,0.0,0.0
SOXL3L_USDT,late,0.0,0.05,10,none,True,30577,0.01701,0.01545,9,9,0,44.0982,0.0,44.0982,2044.0982,0.008468,0,9,2044.0982,0.0,0.0
SOXL3S_USDT,late,0.0,0.05,10,none,True,33373,3.5857,0.8326,9,9,0,44.0982,0.0,44.0982,2044.0982,0.184329,0,9,2044.0982,0.0,-0.0
SNXX3L_USDT,full,0.0,0.05,10,none,True,37108,1.00171,1.0969,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,0,9,2044.0982,0.0,-0.0
SNXX3S_USDT,full,0.0,0.05,10,none,True,27829,1.0107,0.010265,9,9,0,44.0982,0.0,44.0982,2044.0982,0.066975,0,9,2044.0982,0.0,0.0
SOXL3S_USDT,full,0.0,0.05,10,none,True,62331,1.01083,0.8326,9,9,0,44.0982,0.0,44.0982,2044.0982,0.094702,0,9,2044.0982,0.0,0.0
SOXL3L_USDT,full,0.0,0.05,10,none,True,71701,1.00644,0.01545,9,9,0,44.0982,0.0,44.0982,2044.0982,0.01312,0,9,2044.0982,0.0,-0.0
SNXX3S_USDT,late,0.0,0.05,10,none,True,13950,0.01135,0.010265,9,9,0,44.0982,0.0,44.0982,2044.0982,0.372995,0,9,2044.0982,0.0,0.0
SNXX3S_USDT,late,0.0,0.05,10,up,False,13950,0.01135,0.010265,265,265,0,229.8076,-971.6783,-742.3987,1257.6013,0.521597,119,9,29.2796,1228.3217,-0.0
SNXX3L_USDT,late,0.0,0.05,10,up,False,19375,2.60438,1.0969,255,255,0,210.7632,-1638.3816,-1428.1464,571.8536,0.837847,125,9,10.2352,561.6184,0.0
SNXX3S_USDT,full,0.0,0.05,10,up,False,27829,1.0107,0.010265,27,27,0,56.5103,-1985.09,-1929.0597,70.9403,0.968962,67,9,56.0303,14.91,-0.0
SNXX3L_USDT,full,0.0,0.05,10,up,False,37108,1.00171,1.0969,525,525,0,224.8943,-1643.6276,-1419.2613,580.7387,0.834004,661,9,24.3663,556.3724,-0.0
SOXL3L_USDT,late,0.0,0.05,10,up,False,30577,0.01701,0.01545,632,632,0,320.696,-1490.1246,-1169.9565,830.0435,0.68956,358,9,120.168,709.8754,-0.0
