range_down_pct,range_up_pct,grid_count,move,sells_only,full_median_eq,full_mean_eq,full_min_eq,full_max_eq,full_median_net,full_median_profit,full_median_mtm,full_median_dd,full_n_green,late_median_eq,late_mean_eq,late_min_eq,late_max_eq,late_median_net,late_median_profit,late_median_mtm,late_median_dd,late_n_green,score
0.0,0.05,20,none,False,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,0.0400345,4,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,0.1058025,4,2046.5481
0.0,0.05,20,none,True,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,0.0400345,4,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,0.1058025,4,2046.5481
0.0,0.05,20,up,True,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,0.0400345,4,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,0.1058025,4,2046.5481
0.0,0.05,10,none,False,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,0.0400475,4,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,0.09883549999999999,4,2044.0981999999997
0.0,0.05,10,none,True,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,0.0400475,4,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,0.09883549999999999,4,2044.0981999999997
0.0,0.05,10,up,True,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,0.0400475,4,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,0.09883549999999999,4,2044.0981999999997
0.02,0.05,10,none,True,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,0.03173,4,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,0.084979,4,2039.9982
0.02,0.05,10,up,True,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,0.03173,4,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,0.084979,4,2039.9982
0.02,0.05,20,none,True,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,0.030642500000000003,4,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,0.0779845,4,2037.4982999999997
0.02,0.05,20,up,True,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,0.030642500000000003,4,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,0.0779845,4,2037.4982999999997
