range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.05,0.2,10,up,False,2527.283,2480.24782,2127.8303,2915.4938,527.283,574.039,-34.1225,5,5,2287.6113800000003
0.02,0.2,10,up,False,2492.1072,2447.23164,2123.094,2922.48,492.1072,529.7942,-35.288,5,5,2270.69928
0.0,0.2,10,up,False,2464.2864,2430.24238,2132.6979,2871.0907,464.2864,520.6507,-41.8664,5,5,2265.3333000000002
0.02,0.15,10,up,False,2446.8257,2421.59926,2132.0946,2827.9025,446.8257,470.9827,-58.6498,5,5,2257.98704
0.05,0.15,10,up,False,2454.6338,2442.3301,2119.906,2872.0906,454.6338,469.8835,-47.5906,5,5,2253.79712
0.05,0.2,20,up,False,2375.9082,2339.01118,2126.5221,2644.0212,375.9082,390.158,-38.2914,5,5,2226.27654
0.02,0.2,20,up,False,2368.2186,2329.63758,2128.2729,2639.068,368.2186,394.3891,-38.9519,5,5,2224.25118
0.0,0.15,10,up,False,2385.9432,2358.96106,2095.1883,2727.5863,385.9432,411.2377,-62.432,5,5,2211.49026
0.0,0.2,20,up,False,2350.2535,2311.81884,2087.2821,2619.8423,350.2535,381.6268,-45.7509,5,5,2192.47066
0.05,0.1,10,up,False,2344.1633,2360.9789,2088.1018,2714.1092,344.1633,420.6766,-58.8941,5,5,2190.5263999999997
0.02,0.1,10,up,False,2288.5021,2295.28162,2095.5314,2535.9546,288.5021,370.2465,-75.6793,5,5,2172.71968
0.05,0.15,20,up,False,2300.1326,2288.29084,2086.6388,2562.2947,300.1326,318.6901,-45.7509,5,5,2172.03632
0.05,0.2,10,none,False,2235.1801,2213.68316,2127.8303,2255.4389,235.1801,235.1801,0.0,5,5,2170.7702200000003
0.02,0.2,20,none,False,2205.8648,2192.43118,2136.5485,2216.5567,205.8648,205.8648,0.0,5,5,2164.27502
0.0,0.2,20,none,False,2189.0139,2178.94052,2138.647,2189.0139,189.0139,189.0139,0.0,5,5,2158.7937599999996
0.0,0.2,20,none,True,2189.0139,2178.94052,2138.647,2189.0139,189.0139,189.0139,0.0,5,5,2158.7937599999996
0.0,0.2,20,up,True,2189.0139,2178.94052,2138.647,2189.0139,189.0139,189.0139,0.0,5,5,2158.7937599999996
0.02,0.15,20,up,False,2292.9709,2272.0447599999998,2068.3469,2528.1132,292.9709,315.8314,-56.0964,5,5,2158.1965
0.05,0.2,20,none,False,2203.8845,2188.92198,2126.5221,2219.9257,203.8845,203.8845,0.0,5,5,2157.46706
0.02,0.2,20,none,True,2190.9134,2179.4008999999996,2133.3509,2190.9134,190.9134,190.9134,0.0,5,5,2156.3759
0.02,0.2,20,up,True,2190.9134,2179.4008999999996,2133.3509,2190.9134,190.9134,190.9134,0.0,5,5,2156.3759
0.02,0.15,10,none,False,2186.8485,2175.23506,2132.0946,2213.6515,186.8485,186.8485,0.0,5,5,2153.99616
0.0,0.2,10,none,False,2179.0658,2169.7922200000003,2132.6979,2179.0658,179.0658,179.0658,0.0,5,5,2151.24506
0.0,0.2,10,none,True,2179.0658,2169.7922200000003,2132.6979,2179.0658,179.0658,179.0658,0.0,5,5,2151.24506
0.0,0.2,10,up,True,2179.0658,2169.7922200000003,2132.6979,2179.0658,179.0658,179.0658,0.0,5,5,2151.24506
0.02,0.2,10,none,False,2183.0337,2174.55994,2123.094,2204.9973,183.0337,183.0337,0.0,5,5,2147.06988
0.05,0.15,10,none,False,2187.5956,2174.8123800000003,2119.906,2219.4798,187.5956,187.5956,0.0,5,5,2146.98184
0.05,0.2,10,none,True,2179.1648,2167.8917,2122.7993,2179.1648,179.1648,179.1648,0.0,5,5,2145.3455
