range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.05,0.2,10,up,False,2418.7702,2631.0188399999997,2345.986,3127.9099,418.7702,590.9385,-46.2708,5,5,2375.0996800000003
0.0,0.2,10,up,False,2354.6441,2552.65564,2281.3071,2931.3765,354.6441,542.3407,-54.3343,5,5,2310.6419
0.02,0.2,10,up,False,2352.957,2570.00076,2269.5679,3003.0518,352.957,524.9955,-44.7019,5,5,2302.92354
0.05,0.15,10,up,False,2361.2768,2567.81574,2262.7877,3058.7917,361.2768,530.5388,-48.4894,5,5,2302.18334
0.02,0.15,10,up,False,2393.7846,2520.55864,2240.7677,2927.5279,393.7846,516.1087,-64.5653,5,5,2301.97446
0.0,0.15,10,up,False,2351.7206,2443.10296,2177.2671,2776.9686,351.7206,465.2872,-66.6029,5,5,2247.0485
0.05,0.1,10,up,False,2372.4463,2435.83786,2160.5796,2828.8439,372.4463,445.3176,-76.5354,5,5,2245.32628
0.02,0.1,10,up,False,2360.3177,2355.19344,2105.4923,2671.4953,360.3177,404.1191,-94.5458,5,5,2207.42246
0.05,0.2,20,up,False,2281.337,2399.32924,2156.7232,2663.9031,281.337,394.1688,-44.6755,5,5,2206.5687199999998
0.02,0.2,20,up,False,2289.2866,2396.7910199999997,2149.4621,2642.8929,289.2866,400.4617,-49.4792,5,5,2205.3919
0.0,0.2,20,up,False,2273.4706,2367.8575,2138.8925,2586.337,273.4706,394.5469,-52.1008,5,5,2192.72374
0.02,0.2,20,none,False,2191.9752,2197.96068,2190.9134,2215.5075,191.9752,191.9752,0.0,5,5,2191.33812
0.02,0.2,20,none,True,2190.9134,2190.9134,2190.9134,2190.9134,190.9134,190.9134,0.0,5,5,2190.9134
0.02,0.2,20,up,True,2190.9134,2190.9134,2190.9134,2190.9134,190.9134,190.9134,0.0,5,5,2190.9134
0.0,0.2,20,none,False,2189.0139,2189.0139,2189.0139,2189.0139,189.0139,189.0139,0.0,5,5,2189.0139
0.0,0.2,20,none,True,2189.0139,2189.0139,2189.0139,2189.0139,189.0139,189.0139,0.0,5,5,2189.0139
0.0,0.2,20,up,True,2189.0139,2189.0139,2189.0139,2189.0139,189.0139,189.0139,0.0,5,5,2189.0139
0.05,0.2,10,none,False,2179.1648,2194.39264,2179.1648,2229.7444,179.1648,179.1648,0.0,5,5,2179.1648
0.05,0.2,10,none,True,2179.1648,2179.1648,2179.1648,2179.1648,179.1648,179.1648,0.0,5,5,2179.1648
0.05,0.2,10,up,True,2179.1648,2179.1648,2179.1648,2179.1648,179.1648,179.1648,0.0,5,5,2179.1648
0.0,0.2,10,none,False,2179.0658,2179.0658,2179.0658,2179.0658,179.0658,179.0658,0.0,5,5,2179.0658
0.0,0.2,10,none,True,2179.0658,2179.0658,2179.0658,2179.0658,179.0658,179.0658,0.0,5,5,2179.0658
0.0,0.2,10,up,True,2179.0658,2179.0658,2179.0658,2179.0658,179.0658,179.0658,0.0,5,5,2179.0658
0.0,0.1,10,up,False,2319.5447,2288.4851000000003,2083.5652,2512.2901,319.5447,384.8772,-96.6842,5,5,2177.9570000000003
0.05,0.2,20,none,False,2170.3847,2182.03354,2169.1672,2212.4203,170.3847,170.3847,0.0,5,5,2169.6542
0.05,0.2,20,none,True,2169.1672,2169.1672,2169.1672,2169.1672,169.1672,169.1672,0.0,5,5,2169.1672
0.05,0.2,20,up,True,2169.1672,2169.1672,2169.1672,2169.1672,169.1672,169.1672,0.0,5,5,2169.1672
0.02,0.2,10,none,False,2161.0701,2168.09846,2161.0701,2187.4264,161.0701,161.0701,0.0,5,5,2161.0701
0.02,0.2,10,none,True,2161.0701,2161.0701,2161.0701,2161.0701,161.0701,161.0701,0.0,5,5,2161.0701
0.02,0.2,10,up,True,2161.0701,2161.0701,2161.0701,2161.0701,161.0701,161.0701,0.0,5,5,2161.0701
0.02,0.15,20,up,False,2282.0678,2299.51522,2068.2394,2495.6826,282.0678,336.4895,-61.4238,5,5,2153.77076
0.05,0.15,20,up,False,2254.782,2321.10116,2082.9322,2557.4991,254.782,338.5866,-52.1008,5,5,2151.67212
0.02,0.15,10,none,False,2146.6736,2160.68456,2146.6736,2190.1028,146.6736,146.6736,0.0,5,5,2146.6736
0.02,0.15,10,none,True,2146.6736,2146.6736,2146.6736,2146.6736,146.6736,146.6736,0.0,5,5,2146.6736
0.02,0.15,10,up,True,2146.6736,2146.6736,2146.6736,2146.6736,146.6736,146.6736,0.0,5,5,2146.6736
0.0,0.15,20,none,False,2141.5253,2141.5253,2141.5253,2141.5253,141.5253,141.5253,0.0,5,5,2141.5253
0.0,0.15,20,none,True,2141.5253,2141.5253,2141.5253,2141.5253,141.5253,141.5253,0.0,5,5,2141.5253
0.0,0.15,20,up,True,2141.5253,2141.5253,2141.5253,2141.5253,141.5253,141.5253,0.0,5,5,2141.5253
0.02,0.15,20,none,False,2140.6414,2148.60224,2139.0254,2169.9227,140.6414,140.6414,0.0,5,5,2139.6718
0.02,0.15,20,none,True,2139.0254,2139.0254,2139.0254,2139.0254,139.0254,139.0254,0.0,5,5,2139.0254
0.02,0.15,20,up,True,2139.0254,2139.0254,2139.0254,2139.0254,139.0254,139.0254,0.0,5,5,2139.0254
0.0,0.15,20,up,False,2270.6413,2259.7359,2044.2664,2412.9649,270.6413,319.2349,-70.7772,5,5,2134.81636
0.0,0.15,10,none,False,2134.0766,2134.0766,2134.0766,2134.0766,134.0766,134.0766,0.0,5,5,2134.0766
0.0,0.15,10,none,True,2134.0766,2134.0766,2134.0766,2134.0766,134.0766,134.0766,0.0,5,5,2134.0766
0.0,0.15,10,up,True,2134.0766,2134.0766,2134.0766,2134.0766,134.0766,134.0766,0.0,5,5,2134.0766
0.05,0.15,10,none,False,2131.1207,2152.04794,2127.1773,2203.3624,131.1207,131.1207,0.0,5,5,2128.7546599999996
0.05,0.15,10,none,True,2127.1773,2127.1773,2127.1773,2127.1773,127.1773,127.1773,0.0,5,5,2127.1773
0.05,0.15,10,up,True,2127.1773,2127.1773,2127.1773,2127.1773,127.1773,127.1773,0.0,5,5,2127.1773
0.05,0.05,10,up,False,2267.0456,2259.8192,2023.0403,2596.5797,267.0456,324.3523,-96.6842,5,5,2120.64242
0.05,0.15,20,none,False,2120.1906,2132.9381399999997,2119.2287,2165.1887,120.1906,120.1906,0.0,5,5,2119.61346
0.05,0.15,20,none,True,2119.2287,2119.2287,2119.2287,2119.2287,119.2287,119.2287,0.0,5,5,2119.2287
0.05,0.15,20,up,True,2119.2287,2119.2287,2119.2287,2119.2287,119.2287,119.2287,0.0,5,5,2119.2287
0.05,0.1,20,up,False,2251.4823,2224.06144,1996.0591,2421.8143,251.4823,267.8948,-73.1388,4,5,2098.22838
0.0,0.1,20,none,False,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,5,5,2094.0367
0.0,0.1,20,none,True,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,5,5,2094.0367
0.0,0.1,20,up,True,2094.0367,2094.0367,2094.0367,2094.0367,94.0367,94.0367,0.0,5,5,2094.0367
0.02,0.1,10,none,False,2095.0093,2106.70608,2092.6865,2139.4974,95.0093,95.0093,0.0,5,5,2093.61562
0.02,0.1,10,none,True,2092.6865,2092.6865,2092.6865,2092.6865,92.6865,92.6865,0.0,5,5,2092.6865
0.02,0.1,10,up,True,2092.6865,2092.6865,2092.6865,2092.6865,92.6865,92.6865,0.0,5,5,2092.6865
0.0,0.1,10,none,False,2089.0874,2089.0874,2089.0874,2089.0874,89.0874,89.0874,0.0,5,5,2089.0874
0.0,0.1,10,none,True,2089.0874,2089.0874,2089.0874,2089.0874,89.0874,89.0874,0.0,5,5,2089.0874
0.0,0.1,10,up,True,2089.0874,2089.0874,2089.0874,2089.0874,89.0874,89.0874,0.0,5,5,2089.0874
0.02,0.1,20,none,False,2088.647,2096.80968,2087.5373,2118.3186,88.647,88.647,0.0,5,5,2087.9811799999998
0.02,0.1,20,none,True,2087.5373,2087.5373,2087.5373,2087.5373,87.5373,87.5373,0.0,5,5,2087.5373
0.02,0.1,20,up,True,2087.5373,2087.5373,2087.5373,2087.5373,87.5373,87.5373,0.0,5,5,2087.5373
0.05,0.1,10,none,False,2079.2069,2104.2660600000004,2076.2885,2168.5381,79.2069,79.2069,0.0,5,5,2077.45586
