symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap,scenario,seg_id
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,10,none,False,1078,0.53062,2.35386,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,0,9,2044.0982,0.0,0.0,from_trough,SNXX3L_open_trough
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,10,none,False,1469,1.00171,2.35386,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,0,9,2044.0982,0.0,0.0,from_high,SNXX3L_open_high
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,10,none,False,1906,0.72385,1.83695,9,9,0,44.0982,0.0,44.0982,2044.0982,0.002558,0,9,2044.0982,0.0,0.0,from_trough,SOXL3S_jun_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,10,none,False,2446,1.12385,1.83695,9,9,0,44.0982,0.0,44.0982,2044.0982,0.002955,0,9,2044.0982,0.0,0.0,from_high,SOXL3S_jun_high
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,10,none,False,14773,2.17321,4.04558,9,9,0,44.0982,0.0,44.0982,2044.0982,0.111891,0,9,2044.0982,0.0,-0.0,from_high,SNXX3L_aug_high
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,10,none,False,3860,0.80587,0.87982,9,9,0,44.0982,0.0,44.0982,2044.0982,0.296396,0,9,2044.0982,0.0,0.0,from_high,SOXL3L_jun_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,10,none,False,7892,0.56854,4.04558,9,9,0,44.0982,0.0,44.0982,2044.0982,0.054806,0,9,2044.0982,0.0,0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,10,none,False,5412,0.465,0.9645,9,9,0,44.0982,0.0,44.0982,2044.0982,0.017007,0,9,2044.0982,0.0,0.0,from_trough,SOXL3S_aug_trough
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,10,none,False,6274,0.5717,0.9645,9,9,0,44.0982,0.0,44.0982,2044.0982,0.222335,0,9,2044.0982,0.0,0.0,from_high,SOXL3S_aug_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,10,none,True,1906,0.46705,0.87982,9,9,0,44.0982,0.0,44.0982,2044.0982,0.020543,0,9,2044.0982,0.0,-0.0,from_trough,SOXL3L_jun_trough
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,10,none,True,1906,0.72385,1.83695,9,9,0,44.0982,0.0,44.0982,2044.0982,0.002558,0,9,2044.0982,0.0,0.0,from_trough,SOXL3S_jun_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,10,none,True,3860,0.80587,0.87982,9,9,0,44.0982,0.0,44.0982,2044.0982,0.296396,0,9,2044.0982,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,10,none,True,2446,1.12385,1.83695,9,9,0,44.0982,0.0,44.0982,2044.0982,0.002955,0,9,2044.0982,0.0,0.0,from_high,SOXL3S_jun_high
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,10,none,True,1078,0.53062,2.35386,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,0,9,2044.0982,0.0,0.0,from_trough,SNXX3L_open_trough
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,10,none,False,1906,0.46705,0.87982,9,9,0,44.0982,0.0,44.0982,2044.0982,0.020543,0,9,2044.0982,0.0,-0.0,from_trough,SOXL3L_jun_trough
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,10,none,True,1469,1.00171,2.35386,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,0,9,2044.0982,0.0,0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,10,none,True,14773,2.17321,4.04558,9,9,0,44.0982,0.0,44.0982,2044.0982,0.111891,0,9,2044.0982,0.0,-0.0,from_high,SNXX3L_aug_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,10,none,True,7892,0.56854,4.04558,9,9,0,44.0982,0.0,44.0982,2044.0982,0.054806,0,9,2044.0982,0.0,0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,10,none,True,6274,0.5717,0.9645,9,9,0,44.0982,0.0,44.0982,2044.0982,0.222335,0,9,2044.0982,0.0,0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,10,none,True,5412,0.465,0.9645,9,9,0,44.0982,0.0,44.0982,2044.0982,0.017007,0,9,2044.0982,0.0,0.0,from_trough,SOXL3S_aug_trough
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,10,up,False,1906,0.46705,0.87982,265,265,0,202.9607,-11.51,191.0667,2191.0667,0.360683,173,9,602.5767,1588.49,-0.0,from_trough,SOXL3L_jun_trough
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,10,up,False,1078,0.53062,2.35386,270,270,0,127.9701,-68.1113,59.3787,2059.3787,0.260157,713,9,127.4901,1931.8887,0.0,from_trough,SNXX3L_open_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,10,up,False,2446,1.12385,1.83695,222,222,0,180.4801,-286.1254,-106.1253,1893.8747,0.418629,176,9,180.0001,1713.8746,-0.0,from_high,SOXL3S_jun_high
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,10,up,False,1906,0.72385,1.83695,420,420,0,243.6131,-320.1323,-77.0472,1922.9528,0.266258,389,9,43.0851,1879.8677,0.0,from_trough,SOXL3S_jun_trough
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,10,up,False,7892,0.56854,4.04558,1101,1101,0,397.0214,-152.2977,244.1957,2244.1957,0.195168,1324,9,196.4934,2047.7023,0.0,from_trough,SNXX3L_aug_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,10,up,False,14773,2.17321,4.04558,428,428,0,303.1357,-131.4583,171.1494,2171.1494,0.776077,191,9,102.6077,2068.5417,-0.0,from_high,SNXX3L_aug_high
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,10,up,False,1469,1.00171,2.35386,228,228,0,165.0986,-59.918,104.7006,2104.7006,0.618404,279,9,164.6186,1940.082,-0.0,from_high,SNXX3L_open_high
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,10,up,False,3860,0.80587,0.87982,26,26,0,58.285,-7.4461,50.5989,2050.5989,0.296396,12,9,1058.045,992.5539,-0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,10,up,False,6274,0.5717,0.9645,326,326,0,238.6706,-120.5304,117.6122,2117.6122,0.235305,152,9,38.1426,2079.4696,0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,10,up,False,5412,0.465,0.9645,394,394,0,244.4157,-125.6993,118.1884,2118.1884,0.233752,235,9,43.8877,2074.3007,-0.0,from_trough,SOXL3S_aug_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,10,up,True,3860,0.80587,0.87982,9,9,0,44.0982,0.0,44.0982,2044.0982,0.296396,12,9,2044.0982,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,10,up,True,1906,0.46705,0.87982,9,9,0,44.0982,0.0,44.0982,2044.0982,0.020543,173,9,2044.0982,0.0,-0.0,from_trough,SOXL3L_jun_trough
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,10,up,True,1078,0.53062,2.35386,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,713,9,2044.0982,0.0,0.0,from_trough,SNXX3L_open_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,10,up,True,2446,1.12385,1.83695,9,9,0,44.0982,0.0,44.0982,2044.0982,0.002955,176,9,2044.0982,0.0,0.0,from_high,SOXL3S_jun_high
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,10,up,True,1906,0.72385,1.83695,9,9,0,44.0982,0.0,44.0982,2044.0982,0.002558,389,9,2044.0982,0.0,0.0,from_trough,SOXL3S_jun_trough
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,10,up,True,1469,1.00171,2.35386,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,279,9,2044.0982,0.0,0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,10,up,True,7892,0.56854,4.04558,9,9,0,44.0982,0.0,44.0982,2044.0982,0.054806,1324,9,2044.0982,0.0,0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,10,up,True,6274,0.5717,0.9645,9,9,0,44.0982,0.0,44.0982,2044.0982,0.222335,152,9,2044.0982,0.0,0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,10,up,True,5412,0.465,0.9645,9,9,0,44.0982,0.0,44.0982,2044.0982,0.017007,235,9,2044.0982,0.0,0.0,from_trough,SOXL3S_aug_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,10,up,True,14773,2.17321,4.04558,9,9,0,44.0982,0.0,44.0982,2044.0982,0.111891,191,9,2044.0982,0.0,-0.0,from_high,SNXX3L_aug_high
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,10,both,False,1469,1.00171,2.35386,199,80,119,-1799.9482,0.0,-1799.9482,200.0518,0.9028,1649,9,200.0518,0.0,-0.0,from_high,SNXX3L_open_high
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,10,both,False,3860,0.80587,0.87982,318,194,124,-1126.2585,0.0,-1126.2585,873.7415,0.585306,446,9,873.7415,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,10,both,False,1906,0.46705,0.87982,362,249,113,-988.664,0.2729,-988.487,1011.513,0.502885,561,9,611.24,400.2729,0.0,from_trough,SOXL3L_jun_trough
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,10,both,False,1906,0.72385,1.83695,543,330,213,-1457.0919,0.0,-1457.0919,542.9081,0.735344,1590,9,542.9081,0.0,0.0,from_trough,SOXL3S_jun_trough
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,10,both,False,1078,0.53062,2.35386,352,177,175,-1311.6646,0.0,-1311.6646,688.3354,0.66531,2003,9,688.3354,0.0,0.0,from_trough,SNXX3L_open_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,10,both,False,2446,1.12385,1.83695,394,236,158,-1542.1427,-0.7282,-1542.9668,457.0332,0.780452,972,9,57.7613,399.2718,0.0,from_high,SOXL3S_jun_high
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,10,both,False,14773,2.17321,4.04558,575,341,234,-1799.5995,0.0,-1799.5995,200.4005,0.90053,1713,9,200.4005,0.0,0.0,from_high,SNXX3L_aug_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,10,both,True,1906,0.46705,0.87982,9,5,4,2.1083,0.0,2.1083,2002.1083,0.020543,561,9,2002.1083,0.0,-0.0,from_trough,SOXL3L_jun_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,10,both,True,3860,0.80587,0.87982,9,4,5,-41.8812,0.0,-41.8812,1958.1188,0.04067,446,9,1958.1188,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,10,both,False,5412,0.465,0.9645,784,478,306,-1812.1048,0.0,-1812.1048,187.8952,0.909792,2052,9,187.8952,0.0,0.0,from_trough,SOXL3S_aug_trough
